item_code,item_name,list_price,units_in_stock,dept,blurb,returns_info,order_limit
GS-101,Handwoven Cane Photo Frame,499,25,gifts,A rustic hand-woven cane photo frame that fits a 5x7 print,7-day return if unused,5
GS-102,Ceramic Sunrise Mug Set (2pc),649,40,home,Pair of hand-glazed ceramic mugs in a sunrise gradient,10-day return,4
GS-103,Scented Soy Candle - Lavender,349,60,gifts,Hand-poured soy wax candle with lavender essential oil,No returns on opened candles,10
GS-104,Wooden Desk Organizer,899,18,home,Compact walnut-finish desk organizer with 4 compartments,7-day return if unused,3
GS-105,Bluetooth Mini Speaker,1299,22,electronics,Portable Bluetooth 5.0 speaker with 6-hour battery,15-day return,2
GS-106,Personalized Birthday Card,149,100,gifts,Custom-printed greeting card with handwritten-style font,No returns,20
GS-107,Leather Bound Journal,599,35,gifts,A5 leather-bound journal with 200 ruled pages,7-day return if unused,6
GS-108,Copper Insulated Water Bottle,749,30,home,750ml double-wall copper bottle keeps water cool 24h,10-day return,5
GS-109,Wireless Earbuds Pro,2499,15,electronics,True wireless earbuds with active noise cancellation,15-day return,2
GS-110,Chocolate Truffle Gift Box (12pc),799,45,gifts,Assorted Belgian chocolate truffles in a gift box,No returns on food items,8
GS-111,Succulent Planter Trio,549,28,home,Set of 3 ceramic planters with artificial succulents,7-day return if unused,4
GS-112,Digital Photo Frame 10-inch,3499,10,electronics,WiFi-enabled 10-inch digital photo frame with app upload,15-day return,1
GS-113,Silk Scarf - Floral Print,899,20,gifts,Lightweight silk scarf with hand-painted floral print,7-day return if unused,4
GS-114,Aromatherapy Diffuser,1199,24,home,Ultrasonic essential oil diffuser with LED mood light,10-day return,3
GS-115,Fitness Tracker Band,1899,17,electronics,Waterproof fitness band with heart-rate and sleep tracking,15-day return,2
